gene,gene_symbol,gene_label,mean_abs_shap
242712_x_at,RANBP2|RGPD1|RGPD2|RGPD3|RGPD4|RGPD5|RGPD6|RGPD8,RANBP2|RGPD1|RGPD2|RGPD3|RGPD4|RGPD5|RGPD6|RGPD8,0.0021679412418491
212361_s_at,ATP2A2,ATP2A2,0.0021518080233697
227582_at,KLHDC9,KLHDC9,0.0021286211963634
244778_x_at,,244778_x_at,0.0021181368129717
204270_at,SKI,SKI,0.0021160753466381
202074_s_at,OPTN,OPTN,0.0021125229712917
225571_at,LIFR,LIFR,0.0020920122986993
1569302_at,KIAA1731,KIAA1731,0.0020834794880914
220615_s_at,FAR2,FAR2,0.0020638893539804
225239_at,MIR612|NEAT1,MIR612|NEAT1,0.0020334510752033
244197_x_at,,244197_x_at,0.0020083962445012
203266_s_at,MAP2K4,MAP2K4,0.0020000321010626
217786_at,PRMT5,PRMT5,0.0019982297393753
218377_s_at,RWDD2B,RWDD2B,0.0019460193551975
224771_at,NAV1,NAV1,0.0019282828604454
218328_at,COQ4,COQ4,0.001907956086315
226675_s_at,MALAT1,MALAT1,0.0018998361515409
1562935_at,,1562935_at,0.0018916221538354
231015_at,KLF15,KLF15,0.0018842490548007
230629_s_at,EP400,EP400,0.0018701227805947
235213_at,ITPKB,ITPKB,0.0018613915176248
235119_at,TAF3,TAF3,0.0018607921087814
223460_at,CAMKK1,CAMKK1,0.0018469193081337
201502_s_at,NFKBIA,NFKBIA,0.0018369203163419
204355_at,DHX30,DHX30,0.0018302314183751
205787_x_at,LOC441155|ZC3H11A,LOC441155|ZC3H11A,0.00182527651596
203605_at,SRP54,SRP54,0.0018206450385889
209001_s_at,ANAPC13,ANAPC13,0.0017971963245371
214577_at,MAP1B,MAP1B,0.0017918952256157
230392_at,,230392_at,0.0017875341667135
236488_s_at,CTD-3092A11.2,CTD-3092A11.2,0.0017670642204862
202309_at,MTHFD1,MTHFD1,0.0017391733703979
209026_x_at,TUBB,TUBB,0.001732443390922
217817_at,ARPC4,ARPC4,0.0017170935424309
237790_at,SCN8A,SCN8A,0.001706709148944
212177_at,PNISR,PNISR,0.0017028529884029
222425_s_at,POLDIP2,POLDIP2,0.0016904136495378
222620_s_at,DNAJC1,DNAJC1,0.0016837399338464
242366_at,,242366_at,0.0016769752442549
241893_at,,241893_at,0.0016620130664495
215789_s_at,AJAP1,AJAP1,0.001656111710178
228027_at,ARMCX5-GPRASP2|GPRASP2,ARMCX5-GPRASP2|GPRASP2,0.001629722691064
209424_s_at,AMACR|C1QTNF3-AMACR,AMACR|C1QTNF3-AMACR,0.0016246813482722
229776_at,SLCO3A1,SLCO3A1,0.0016161883387217
209163_at,CYB561,CYB561,0.0016023640902264
228541_x_at,NGRN,NGRN,0.0015776215135835
235640_at,,235640_at,0.0015725882409977
205550_s_at,BRE,BRE,0.001572241291133
1554863_s_at,DOK5,DOK5,0.0015675221667605
227062_at,MIR612|NEAT1,MIR612|NEAT1,0.0015456050451925
239649_at,,239649_at,0.00149893831137
243988_at,,243988_at,0.0014983895415759
208977_x_at,TUBB4B,TUBB4B,0.0014928801063446
201387_s_at,UCHL1,UCHL1,0.001487716749309
1559101_at,,1559101_at,0.0014868910845351
209258_s_at,SMC3,SMC3,0.0014664656188931
229656_s_at,EML6,EML6,0.0014652117643929
1555931_at,TSGA10,TSGA10,0.0014599049830223
201415_at,GSS,GSS,0.0014575146119508
205738_s_at,FABP3,FABP3,0.0014289622977215
207170_s_at,LETMD1,LETMD1,0.0014214885632025
243233_at,,243233_at,0.0014139246192217
221831_at,LUZP1,LUZP1,0.0013861763187771
43427_at,ACACB,ACACB,0.0013467843759487
209104_s_at,NHP2,NHP2,0.0013460183793177
204905_s_at,EEF1E1,EEF1E1,0.0013366359467241
224523_s_at,CMSS1,CMSS1,0.0013363013613473
238078_at,SEC22A,SEC22A,0.0013286920855162
1562529_s_at,,1562529_s_at,0.0013227173493222
218263_s_at,ZBED5,ZBED5,0.0013092998850488
